Time,Price,RSI,Pattern,AI_Conf,Action
2026-01-18 19:24:07,95114.5,0.53,0.24,WAIT
2026-01-18 19:24:23,95114.5,0.53,0.14,WAIT
2026-01-18 19:24:39,95131.0,0.48,0.1,WAIT
2026-01-18 19:24:55,95131.0,0.48,-0.34,WAIT
2026-01-18 19:25:11,95131.0,0.48,-0.39,WAIT
2026-01-18 19:25:27,95131.0,0.48,-0.49,WAIT
2026-01-18 19:25:43,95120.5,0.49,-0.47,WAIT
2026-01-18 19:25:58,95120.5,0.49,-0.37,WAIT
2026-01-18 19:26:14,95120.5,0.49,-0.28,WAIT
2026-01-18 19:26:30,95120.5,0.49,-0.2,WAIT
2026-01-18 19:26:46,95109.5,0.53,0.11,WAIT
2026-01-18 19:27:02,95109.5,0.53,0.27,WAIT
2026-01-18 19:27:18,95109.5,0.53,-0.07,WAIT
2026-01-18 19:27:34,95128.5,0.49,-0.05,WAIT
2026-01-18 19:27:49,95128.5,0.49,-0.25,WAIT
2026-01-18 19:28:05,95128.5,0.49,-0.19,WAIT
2026-01-18 19:28:21,95128.5,0.49,-0.09,WAIT
2026-01-18 19:28:37,95115.5,0.53,-0.33,WAIT
2026-01-18 19:28:53,95115.5,0.53,-0.21,WAIT
2026-01-18 19:29:09,95115.5,0.53,-0.29,WAIT
2026-01-18 19:29:24,95115.5,0.53,-0.1,WAIT
2026-01-18 19:29:40,95114.0,0.53,0.02,WAIT
2026-01-18 19:29:56,95114.0,0.53,0.21,WAIT
2026-01-18 19:30:12,95114.0,0.53,0.28,WAIT
2026-01-18 19:30:28,95114.0,0.53,0.13,WAIT
2026-01-18 19:30:43,95114.0,0.53,0.08,WAIT
2026-01-18 19:30:59,95114.0,0.53,-0.46,WAIT
2026-01-18 19:31:15,95114.0,0.53,-0.52,WAIT
2026-01-18 19:31:31,95114.0,0.53,-0.55,WAIT
2026-01-18 19:31:47,95109.5,0.5,-0.59,WAIT
2026-01-18 19:32:03,95109.5,0.5,-0.55,WAIT
2026-01-18 19:32:19,95109.5,0.5,-0.46,WAIT
2026-01-18 19:32:34,95109.5,0.5,-0.51,WAIT
2026-01-18 19:32:50,95109.5,0.5,-0.38,WAIT
2026-01-18 19:33:06,95109.5,0.5,-0.32,WAIT
2026-01-18 19:33:22,95109.5,0.5,-0.11,WAIT
2026-01-18 19:33:38,95109.5,0.5,-0.21,WAIT
2026-01-18 19:33:54,95109.5,0.5,-0.35,WAIT
2026-01-18 19:34:09,95109.5,0.5,-0.36,WAIT
2026-01-18 19:34:25,95109.5,0.5,-0.41,WAIT
2026-01-18 19:34:41,95110.5,0.5,-0.43,WAIT
2026-01-18 19:34:57,95110.5,0.5,-0.48,WAIT
2026-01-18 19:35:13,95110.5,0.5,-0.38,WAIT
2026-01-18 19:35:29,95110.5,0.5,-0.47,WAIT
2026-01-18 19:35:45,95109.5,0.5,-0.47,WAIT
2026-01-18 19:36:00,95109.5,0.5,-0.41,WAIT
2026-01-18 19:36:16,95109.5,0.5,0.02,WAIT
2026-01-18 19:36:32,95109.5,0.5,0.49,WAIT
2026-01-18 19:36:48,95109.5,0.5,0.51,WAIT
2026-01-18 19:37:04,95109.5,0.5,0.41,WAIT
2026-01-18 19:37:19,95109.5,0.5,0.23,WAIT
2026-01-18 19:37:35,95109.5,0.5,0.2,WAIT
2026-01-18 19:37:51,95124.0,0.49,0.06,WAIT
2026-01-18 19:38:07,95124.0,0.49,-0.05,WAIT
2026-01-18 19:38:23,95124.0,0.49,-0.06,WAIT
2026-01-18 19:38:39,95124.0,0.49,-0.15,WAIT
2026-01-18 19:38:54,95115.0,0.49,-0.05,WAIT
2026-01-18 19:39:10,95115.0,0.49,-0.19,WAIT
2026-01-18 19:39:26,95115.0,0.49,-0.29,WAIT
2026-01-18 19:39:42,95115.0,0.49,-0.31,WAIT
2026-01-18 19:39:57,95116.0,0.49,-0.07,WAIT
2026-01-18 19:40:13,95116.0,0.49,0.08,WAIT
2026-01-18 19:40:29,95116.0,0.49,-0.01,WAIT
2026-01-18 19:40:45,95115.0,0.49,-0.06,WAIT
2026-01-18 19:41:01,95115.0,0.49,-0.07,WAIT
2026-01-18 19:41:16,95115.0,0.49,0.19,WAIT
2026-01-18 19:41:32,95115.0,0.49,0.27,WAIT
2026-01-18 19:41:48,95116.0,0.49,0.27,WAIT
2026-01-18 19:42:04,95116.0,0.49,0.18,WAIT
2026-01-18 19:42:20,95116.0,0.49,0.26,WAIT
2026-01-18 19:42:36,95116.0,0.49,0.35,WAIT
2026-01-18 19:42:51,95116.0,0.49,0.45,WAIT
2026-01-18 19:43:07,95116.0,0.49,0.42,WAIT
2026-01-18 19:43:23,95116.0,0.49,0.14,WAIT
2026-01-18 19:43:39,95116.0,0.49,0.21,WAIT
2026-01-18 19:43:55,95125.0,0.49,0.49,WAIT
2026-01-18 19:44:10,95125.0,0.49,0.49,WAIT
2026-01-18 19:44:26,95125.0,0.49,0.6,WAIT
2026-01-18 19:44:42,95125.0,0.49,0.68,WAIT
2026-01-18 19:44:58,95172.5,0.44,0.24,WAIT
2026-01-18 19:45:13,95172.5,0.44,0.56,WAIT
